GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
retail,com.retial.app.application.controller,BillController,0,11,0,0,0,2,0,2,0,2
retail,com.retial.app.application.controller,BillController.BillRequest,0,9,0,0,0,1,0,1,0,1
retail,com.retial.app.domain.entity,User,26,188,19,19,0,8,15,19,0,15
retail,com.retial.app.domain.entity,User.UserBuilder,10,35,0,0,0,1,1,6,1,6
retail,com.retial.app.domain.entity,Item.ItemBuilder,10,35,0,0,0,1,1,6,1,6
retail,com.retial.app.domain.entity,Item,16,177,9,19,0,8,9,20,0,15
retail,com.retial.app.domain.entity,Bill,16,145,11,17,0,13,9,19,0,14
retail,com.retial.app.domain.entity,Bill.BillBuilder,11,16,0,0,0,1,2,3,2,3
retail,com.retial.app,RetailApplication,0,8,0,0,0,3,0,2,0,2
retail,com.retial.app.domain.enums,UserType,0,21,0,0,0,2,0,1,0,1
retail,com.retial.app.domain.service,BillService,0,66,1,7,0,15,1,7,0,3
,,,,,40,62,0,55,38,86,4,68
,,,,,,,,,,,,
,,,,,,,,,,,,94%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,94%,,
